file path,class
Laz_Alonso_00000886.png,0
David_James_Elliott_00000689.png,1
Mary_Kay_Place_00000089.png,2
Rebecca_Budig_00000931.png,3
David_Koechner_00000245.png,4
Mary_Elizabeth_Winstead_00000239.png,5
Katie_Stevens_00000536.png,6
Tom_Payne_00000353.png,7
Cierra_Ramirez_00000773.png,8
Derek_Mears_00000212.png,9
Sarah_Bolger_00000765.png,10
Caroline_Rhea_00000300.png,11
Katie_Findlay_00000778.png,12
Luke_Arnold_00000050.png,13
Matt_Berry_00000887.png,14
Megan_Fox_00000425.png,15
Oona_Chaplin_00000941.png,16
Nicole_Richie_00000523.png,17
Kym_Whitley_00000411.png,18
Paul_Feig_00000256.png,19
Heather_Tom_00000967.png,20
B.J._Novak_00000684.png,21
Rila_Fukushima_00000636.png,22
Viggo_Mortensen_00000803.png,23
Michael_C._Hall_00000442.png,24
Lin_Shaye_00000554.png,25
Tim_Minchin_00000977.png,26
Jerry_Trainor_00000153.png,27
Tahmoh_Penikett_00000228.png,28
Clara_Bow_00000897.png,29
Rob_Dyrdek_00000050.png,30
Luke_Bilyk_00000315.png,31
Max_Martini_00000622.png,32
Jesse_McCartney_00000376.png,33
Holliday_Grainger_00000432.png,34
Luke_Treadaway_00000286.png,35
Luke_Perry_00000192.png,36
Patrick_Fugit_00000216.png,37
Evan_Ross_00000220.png,38
Adam_Goldberg_00000948.png,39
John_de_Lancie_00000138.png,40
Ana_Mulvoy-Ten_00000329.png,41
Kim_Richards_00000914.png,42
Eoin_Macken_00000094.png,43
Naomie_Harris_00000347.png,44
Gloria_Macapagal-Arroyo_00000339.png,45
Idina_Menzel_00000890.png,46
Helen_Mirren_00000042.png,47
Kevin_Hart_00000272.png,48
Terence_Hill_00000136.png,49
Tommy_Morrison_00000142.png,50
Mary_Jo_Deschanel_00000155.png,51
Marilyn_Burns_00000524.png,52
Luke_Bilyk_00000463.png,31
David_Sutcliffe_00000079.png,53
Josh_Brolin_00000043.png,54
JoAnna_Garcia_Swisher_00000160.png,55
Heather_Hemmens_00000216.png,56
Katie_Findlay_00000668.png,12
Alex_Trebek_00000309.png,57
Mario_Casas_00000323.png,58
Beth_Ostrosky_00000449.png,59
Joseph_Gordon-Levitt_00000813.png,60
Sunny_Mabrey_00000205.png,61
Ludacris_00000805.png,62
Margarita_Levieva_00000274.png,63
Jessica_McNamee_00000953.png,64
Keeley_Hawes_00000345.png,65
Meghan_Trainor_00000474.png,66
Max_Carver_00000513.png,67
Vanessa_Lengies_00000559.png,68
Kelly_Rowan_00000762.png,69
John_Glover_00000013.png,70
Matthew_Davis_00000429.png,71
Dr._Dre_00000088.png,72
Bridget_Regan_00000543.png,73
David_Oyelowo_00000228.png,74
Adam_Godley_00000674.png,75
Alan_Ladd_00000472.png,76
Jason_George_00000032.png,77
Tyrese_Gibson_00000743.png,78
Marisa_Miller_00000981.png,79
Bahar_Soomekh_00000084.png,80
Sam_Jaeger_00000294.png,81
Marie_Avgeropoulos_00000943.png,82
Robert_Davi_00000078.png,83
Charles_S._Dutton_00000370.png,84
Danny_Webb_00000656.png,85
Dawna_Lee_Heising_00000780.png,86
Jayma_Mays_00000108.png,87
Tika_Sumpter_00000641.png,88
Michelle_Forbes_00000985.png,89
